Ukazatel,Roky,"ČR, kraje",Věk matky (pětileté skupiny),value
Živě narození,2024,Česko,Celkem,84311
Živě narození,2024,Česko,do 19,1657
Živě narození,2024,Česko,20 - 24,8894
Živě narození,2024,Česko,25 - 29,23011
Živě narození,2024,Česko,30 - 34,30730
Živě narození,2024,Česko,35 - 39,15871
Živě narození,2024,Česko,40 - 44,3778
Živě narození,2024,Česko,45 - 49,352
Živě narození,2024,Česko,50 a více,18
Živě narození,2024,Hlavní město Praha,Celkem,12085
Živě narození,2024,Hlavní město Praha,do 19,97
Živě narození,2024,Hlavní město Praha,20 - 24,790
Živě narození,2024,Hlavní město Praha,25 - 29,2534
Živě narození,2024,Hlavní město Praha,30 - 34,4776
Živě narození,2024,Hlavní město Praha,35 - 39,3011
Živě narození,2024,Hlavní město Praha,40 - 44,781
Živě narození,2024,Hlavní město Praha,45 - 49,87
Živě narození,2024,Hlavní město Praha,50 a více,9
Živě narození,2024,Středočeský kraj,Celkem,10981
Živě narození,2024,Středočeský kraj,do 19,155
Živě narození,2024,Středočeský kraj,20 - 24,1081
Živě narození,2024,Středočeský kraj,25 - 29,2909
Živě narození,2024,Středočeský kraj,30 - 34,4077
Živě narození,2024,Středočeský kraj,35 - 39,2161
Živě narození,2024,Středočeský kraj,40 - 44,542
Živě narození,2024,Středočeský kraj,45 - 49,56
Živě narození,2024,Středočeský kraj,50 a více,0
Živě narození,2024,Jihočeský kraj,Celkem,5082
Živě narození,2024,Jihočeský kraj,do 19,107
Živě narození,2024,Jihočeský kraj,20 - 24,546
Živě narození,2024,Jihočeský kraj,25 - 29,1485
Živě narození,2024,Jihočeský kraj,30 - 34,1770
Živě narození,2024,Jihočeský kraj,35 - 39,942
Živě narození,2024,Jihočeský kraj,40 - 44,213
Živě narození,2024,Jihočeský kraj,45 - 49,17
Živě narození,2024,Jihočeský kraj,50 a více,2
Živě narození,2024,Plzeňský kraj,Celkem,4569
Živě narození,2024,Plzeňský kraj,do 19,101
Živě narození,2024,Plzeňský kraj,20 - 24,546
Živě narození,2024,Plzeňský kraj,25 - 29,1323
Živě narození,2024,Plzeňský kraj,30 - 34,1620
Živě narození,2024,Plzeňský kraj,35 - 39,763
Živě narození,2024,Plzeňský kraj,40 - 44,196
Živě narození,2024,Plzeňský kraj,45 - 49,20
Živě narození,2024,Plzeňský kraj,50 a více,0
Živě narození,2024,Karlovarský kraj,Celkem,1814
Živě narození,2024,Karlovarský kraj,do 19,78
Živě narození,2024,Karlovarský kraj,20 - 24,330
Živě narození,2024,Karlovarský kraj,25 - 29,529
Živě narození,2024,Karlovarský kraj,30 - 34,516
Živě narození,2024,Karlovarský kraj,35 - 39,275
Živě narození,2024,Karlovarský kraj,40 - 44,78
Živě narození,2024,Karlovarský kraj,45 - 49,8
Živě narození,2024,Karlovarský kraj,50 a více,0
Živě narození,2024,Ústecký kraj,Celkem,6132
Živě narození,2024,Ústecký kraj,do 19,311
Živě narození,2024,Ústecký kraj,20 - 24,1100
Živě narození,2024,Ústecký kraj,25 - 29,1785
Živě narození,2024,Ústecký kraj,30 - 34,1789
Živě narození,2024,Ústecký kraj,35 - 39,918
Živě narození,2024,Ústecký kraj,40 - 44,212
Živě narození,2024,Ústecký kraj,45 - 49,17
Živě narození,2024,Ústecký kraj,50 a více,0
Živě narození,2024,Liberecký kraj,Celkem,3253
Živě narození,2024,Liberecký kraj,do 19,78
Živě narození,2024,Liberecký kraj,20 - 24,410
Živě narození,2024,Liberecký kraj,25 - 29,934
Živě narození,2024,Liberecký kraj,30 - 34,1102
Živě narození,2024,Liberecký kraj,35 - 39,563
Živě narození,2024,Liberecký kraj,40 - 44,154
Živě narození,2024,Liberecký kraj,45 - 49,12
Živě narození,2024,Liberecký kraj,50 a více,0
Živě narození,2024,Královéhradecký kraj,Celkem,4142
Živě narození,2024,Královéhradecký kraj,do 19,75
Živě narození,2024,Královéhradecký kraj,20 - 24,427
Živě narození,2024,Královéhradecký kraj,25 - 29,1218
Živě narození,2024,Královéhradecký kraj,30 - 34,1511
Živě narození,2024,Královéhradecký kraj,35 - 39,746
Živě narození,2024,Královéhradecký kraj,40 - 44,151
Živě narození,2024,Královéhradecký kraj,45 - 49,14
Živě narození,2024,Královéhradecký kraj,50 a více,0
Živě narození,2024,Pardubický kraj,Celkem,4201
Živě narození,2024,Pardubický kraj,do 19,79
Živě narození,2024,Pardubický kraj,20 - 24,425
Živě narození,2024,Pardubický kraj,25 - 29,1261
Živě narození,2024,Pardubický kraj,30 - 34,1552
Živě narození,2024,Pardubický kraj,35 - 39,734
Živě narození,2024,Pardubický kraj,40 - 44,140
Živě narození,2024,Pardubický kraj,45 - 49,8
Živě narození,2024,Pardubický kraj,50 a více,2
Živě narození,2024,Kraj Vysočina,Celkem,4184
Živě narození,2024,Kraj Vysočina,do 19,63
Živě narození,2024,Kraj Vysočina,20 - 24,438
Živě narození,2024,Kraj Vysočina,25 - 29,1289
Živě narození,2024,Kraj Vysočina,30 - 34,1557
Živě narození,2024,Kraj Vysočina,35 - 39,664
Živě narození,2024,Kraj Vysočina,40 - 44,160
Živě narození,2024,Kraj Vysočina,45 - 49,12
Živě narození,2024,Kraj Vysočina,50 a více,1
Živě narození,2024,Jihomoravský kraj,Celkem,9868
Živě narození,2024,Jihomoravský kraj,do 19,125
Živě narození,2024,Jihomoravský kraj,20 - 24,824
Živě narození,2024,Jihomoravský kraj,25 - 29,2594
Živě narození,2024,Jihomoravský kraj,30 - 34,3930
Živě narození,2024,Jihomoravský kraj,35 - 39,1926
Živě narození,2024,Jihomoravský kraj,40 - 44,433
Živě narození,2024,Jihomoravský kraj,45 - 49,33
Živě narození,2024,Jihomoravský kraj,50 a více,3
Živě narození,2024,Olomoucký kraj,Celkem,4943
Živě narození,2024,Olomoucký kraj,do 19,95
Živě narození,2024,Olomoucký kraj,20 - 24,536
Živě narození,2024,Olomoucký kraj,25 - 29,1385
Živě narození,2024,Olomoucký kraj,30 - 34,1801
Živě narození,2024,Olomoucký kraj,35 - 39,918
Živě narození,2024,Olomoucký kraj,40 - 44,185
Živě narození,2024,Olomoucký kraj,45 - 49,22
Živě narození,2024,Olomoucký kraj,50 a více,1
Živě narození,2024,Zlínský kraj,Celkem,4447
Živě narození,2024,Zlínský kraj,do 19,41
Živě narození,2024,Zlínský kraj,20 - 24,374
Živě narození,2024,Zlínský kraj,25 - 29,1294
Živě narození,2024,Zlínský kraj,30 - 34,1695
Živě narození,2024,Zlínský kraj,35 - 39,827
Živě narození,2024,Zlínský kraj,40 - 44,204
Živě narození,2024,Zlínský kraj,45 - 49,12
Živě narození,2024,Zlínský kraj,50 a více,0
Živě narození,2024,Moravskoslezský kraj,Celkem,8610
Živě narození,2024,Moravskoslezský kraj,do 19,252
Živě narození,2024,Moravskoslezský kraj,20 - 24,1067
Živě narození,2024,Moravskoslezský kraj,25 - 29,2471
Živě narození,2024,Moravskoslezský kraj,30 - 34,3034
Živě narození,2024,Moravskoslezský kraj,35 - 39,1423
Živě narození,2024,Moravskoslezský kraj,40 - 44,329
Živě narození,2024,Moravskoslezský kraj,45 - 49,34
Živě narození,2024,Moravskoslezský kraj,50 a více,0
