Ukazatel,Kategorie ubytovacího zařízení,Rezidence,"ČR, kraje",Roky,value
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2021,1331887
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2020,1170773
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2019,2137259
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2018,2040627
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2017,1886416
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2016,1647533
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2015,1536172
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2014,1499974
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2013,1427154
Počet hostů,HUZ celkem,Celkem,Jihomoravský kraj,2012,1317690
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2024,753338
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2023,784744
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2022,722842
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2021,469007
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2020,472051
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2019,761615
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2018,700112
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2017,658059
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2016,600106
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2015,547538
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2014,487641
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2013,512430
Počet hostů,HUZ celkem,Celkem,Olomoucký kraj,2012,474868
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2024,819930
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2023,821743
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2022,802061
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2021,555228
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2020,500512
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2019,808451
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2018,779124
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2017,714238
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2016,686935
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2015,661149
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2014,603414
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2013,603301
Počet hostů,HUZ celkem,Celkem,Zlínský kraj,2012,571719
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2024,1024886
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2023,1038419
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2022,993183
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2021,645902
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2020,612681
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2019,1015746
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2018,985795
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2017,896742
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2016,816653
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2015,775047
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2014,703009
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2013,698211
Počet hostů,HUZ celkem,Celkem,Moravskoslezský kraj,2012,698746
