Území,Ukazatel,Měsíce,value
Česko,Index tržeb - meziroční růst/pokles (%),leden 2021,-7.1236993842
Česko,Index tržeb - meziroční růst/pokles (%),únor 2021,-3.4428543095
Česko,Index tržeb - meziroční růst/pokles (%),březen 2021,6.5850199241
Česko,Index tržeb - meziroční růst/pokles (%),duben 2021,6.8066443628
Česko,Index tržeb - meziroční růst/pokles (%),květen 2021,7.5415132077
Česko,Index tržeb - meziroční růst/pokles (%),červen 2021,6.4938220942
Česko,Index tržeb - meziroční růst/pokles (%),červenec 2021,3.3663863135
Česko,Index tržeb - meziroční růst/pokles (%),srpen 2021,4.1479726587
Česko,Index tržeb - meziroční růst/pokles (%),září 2021,3.2319684397
Česko,Index tržeb - meziroční růst/pokles (%),říjen 2021,7.9815580589
Česko,Index tržeb - meziroční růst/pokles (%),listopad 2021,12.5906814625
Česko,Index tržeb - meziroční růst/pokles (%),prosinec 2021,0.1890601162
Česko,Index tržeb - meziroční růst/pokles (%),leden 2022,9.5350851313
Česko,Index tržeb - meziroční růst/pokles (%),únor 2022,4.8653964953
Česko,Index tržeb - meziroční růst/pokles (%),březen 2022,5.9993847109
Česko,Index tržeb - meziroční růst/pokles (%),duben 2022,6.0565767213
Česko,Index tržeb - meziroční růst/pokles (%),květen 2022,-6.1968460751
Česko,Index tržeb - meziroční růst/pokles (%),červen 2022,-6.9911785597
Česko,Index tržeb - meziroční růst/pokles (%),červenec 2022,-8.1980767629
Česko,Index tržeb - meziroční růst/pokles (%),srpen 2022,-8.4384534128
Česko,Index tržeb - meziroční růst/pokles (%),září 2022,-6.3040300544
Česko,Index tržeb - meziroční růst/pokles (%),říjen 2022,-10.6373647018
Česko,Index tržeb - meziroční růst/pokles (%),listopad 2022,-9.2921526902
Česko,Index tržeb - meziroční růst/pokles (%),prosinec 2022,-8.168741629
Česko,Index tržeb - meziroční růst/pokles (%),leden 2023,-6.7242325574
Česko,Index tržeb - meziroční růst/pokles (%),únor 2023,-6.8100398035
Česko,Index tržeb - meziroční růst/pokles (%),březen 2023,-9.573143748
Česko,Index tržeb - meziroční růst/pokles (%),duben 2023,-8.4300801299
Česko,Index tržeb - meziroční růst/pokles (%),květen 2023,-6.3009319291
Česko,Index tržeb - meziroční růst/pokles (%),červen 2023,-4.1510687722
Česko,Index tržeb - meziroční růst/pokles (%),červenec 2023,-2.2953018783
Česko,Index tržeb - meziroční růst/pokles (%),srpen 2023,-2.8972212635
Česko,Index tržeb - meziroční růst/pokles (%),září 2023,-4.2249977571
Česko,Index tržeb - meziroční růst/pokles (%),říjen 2023,-1.7359419298
Česko,Index tržeb - meziroční růst/pokles (%),listopad 2023,-0.1815285683
Česko,Index tržeb - meziroční růst/pokles (%),prosinec 2023,1.2686581242
Česko,Index tržeb - meziroční růst/pokles (%),leden 2024,3.0553773668
Česko,Index tržeb - meziroční růst/pokles (%),únor 2024,4.0629834622
Česko,Index tržeb - meziroční růst/pokles (%),březen 2024,5.557433095
Česko,Index tržeb - meziroční růst/pokles (%),duben 2024,5.6548874276
Česko,Index tržeb - meziroční růst/pokles (%),květen 2024,2.7087314796
Česko,Index tržeb - meziroční růst/pokles (%),červen 2024,3.6075074288
Česko,Index tržeb - meziroční růst/pokles (%),červenec 2024,4.6164779727
Česko,Index tržeb - meziroční růst/pokles (%),srpen 2024,4.8167619358
Česko,Index tržeb - meziroční růst/pokles (%),září 2024,4.5357379092
Česko,Index tržeb - meziroční růst/pokles (%),říjen 2024,5.0917633353
Česko,Index tržeb - meziroční růst/pokles (%),listopad 2024,4.1142868325
Česko,Index tržeb - meziroční růst/pokles (%),prosinec 2024,6.3830738963
Česko,Index tržeb - meziroční růst/pokles (%),leden 2025,3.1742899635
Česko,Index tržeb - meziroční růst/pokles (%),únor 2025,3.199522817
Česko,Index tržeb - meziroční růst/pokles (%),březen 2025,3.8890308868
Česko,Index tržeb - meziroční růst/pokles (%),duben 2025,5.6941522283
Česko,Index tržeb - meziroční růst/pokles (%),květen 2025,4.5441901937
Česko,Index tržeb - meziroční růst/pokles (%),červen 2025,4.7753658053
Česko,Index tržeb - meziroční růst/pokles (%),červenec 2025,2.2349471033
Česko,Index tržeb - meziroční růst/pokles (%),srpen 2025,3.4562586767
