Území,Ukazatel,Pohlaví,Roky,value
Česko,Zemřelí celkem,ženy,2016,52870.0
Česko,Zemřelí celkem,ženy,2017,55001.0
Česko,Zemřelí celkem,ženy,2018,55647.0
Česko,Zemřelí celkem,ženy,2019,55023.0
Česko,Zemřelí celkem,ženy,2020,62690.0
Česko,Zemřelí celkem,ženy,2021,66369.0
Česko,Zemřelí celkem,ženy,2022,58815.0
Česko,Zemřelí celkem,ženy,2023,54765.0
Česko,Zemřelí celkem,muži,2016,54880.0
Česko,Zemřelí celkem,muži,2017,56442.0
Česko,Zemřelí celkem,muži,2018,57273.0
Česko,Zemřelí celkem,muži,2019,57339.0
Česko,Zemřelí celkem,muži,2020,66599.0
Česko,Zemřelí celkem,muži,2021,73522.0
Česko,Zemřelí celkem,muži,2022,61404.0
Česko,Zemřelí celkem,muži,2023,58030.0
Česko,Zemřelí ve věku 0 - 14 let,ženy,2016,214.0
Česko,Zemřelí ve věku 0 - 14 let,ženy,2017,186.0
Česko,Zemřelí ve věku 0 - 14 let,ženy,2018,208.0
Česko,Zemřelí ve věku 0 - 14 let,ženy,2019,201.0
Česko,Zemřelí ve věku 0 - 14 let,ženy,2020,161.0
Česko,Zemřelí ve věku 0 - 14 let,ženy,2021,167.0
Česko,Zemřelí ve věku 0 - 14 let,ženy,2022,188.0
Česko,Zemřelí ve věku 0 - 14 let,ženy,2023,166.0
Česko,Zemřelí ve věku 0 - 14 let,muži,2016,269.0
Česko,Zemřelí ve věku 0 - 14 let,muži,2017,279.0
Česko,Zemřelí ve věku 0 - 14 let,muži,2018,246.0
Česko,Zemřelí ve věku 0 - 14 let,muži,2019,262.0
Česko,Zemřelí ve věku 0 - 14 let,muži,2020,236.0
Česko,Zemřelí ve věku 0 - 14 let,muži,2021,239.0
Česko,Zemřelí ve věku 0 - 14 let,muži,2022,209.0
Česko,Zemřelí ve věku 0 - 14 let,muži,2023,194.0
Česko,Zemřelí ve věku 15- 64 let,ženy,2016,6254.0
Česko,Zemřelí ve věku 15- 64 let,ženy,2017,6115.0
Česko,Zemřelí ve věku 15- 64 let,ženy,2018,6111.0
Česko,Zemřelí ve věku 15- 64 let,ženy,2019,6043.0
Česko,Zemřelí ve věku 15- 64 let,ženy,2020,6220.0
Česko,Zemřelí ve věku 15- 64 let,ženy,2021,7067.0
Česko,Zemřelí ve věku 15- 64 let,ženy,2022,5911.0
Česko,Zemřelí ve věku 15- 64 let,ženy,2023,5451.0
Česko,Zemřelí ve věku 15- 64 let,muži,2016,13347.0
Česko,Zemřelí ve věku 15- 64 let,muži,2017,13366.0
Česko,Zemřelí ve věku 15- 64 let,muži,2018,13169.0
Česko,Zemřelí ve věku 15- 64 let,muži,2019,12750.0
Česko,Zemřelí ve věku 15- 64 let,muži,2020,13428.0
Česko,Zemřelí ve věku 15- 64 let,muži,2021,15426.0
Česko,Zemřelí ve věku 15- 64 let,muži,2022,12656.0
Česko,Zemřelí ve věku 15- 64 let,muži,2023,12109.0
Česko,Zemřelí ve věku 65 a více let,ženy,2016,46402.0
Česko,Zemřelí ve věku 65 a více let,ženy,2017,48700.0
Česko,Zemřelí ve věku 65 a více let,ženy,2018,49328.0
Česko,Zemřelí ve věku 65 a více let,ženy,2019,48779.0
Česko,Zemřelí ve věku 65 a více let,ženy,2020,56309.0
Česko,Zemřelí ve věku 65 a více let,ženy,2021,59135.0
Česko,Zemřelí ve věku 65 a více let,ženy,2022,52716.0
Česko,Zemřelí ve věku 65 a více let,ženy,2023,49148.0
Česko,Zemřelí ve věku 65 a více let,muži,2016,41264.0
Česko,Zemřelí ve věku 65 a více let,muži,2017,42797.0
Česko,Zemřelí ve věku 65 a více let,muži,2018,43858.0
Česko,Zemřelí ve věku 65 a více let,muži,2019,44327.0
Česko,Zemřelí ve věku 65 a více let,muži,2020,52935.0
Česko,Zemřelí ve věku 65 a více let,muži,2021,57857.0
Česko,Zemřelí ve věku 65 a více let,muži,2022,48539.0
Česko,Zemřelí ve věku 65 a více let,muži,2023,45727.0
Česko,Zemřelí na nemoci oběhové soustavy,ženy,2016,25354.0
Česko,Zemřelí na nemoci oběhové soustavy,ženy,2017,26506.0
Česko,Zemřelí na nemoci oběhové soustavy,ženy,2018,25867.0
Česko,Zemřelí na nemoci oběhové soustavy,ženy,2019,25065.0
Česko,Zemřelí na nemoci oběhové soustavy,ženy,2020,27010.0
Česko,Zemřelí na nemoci oběhové soustavy,ženy,2021,24896.0
Česko,Zemřelí na nemoci oběhové soustavy,ženy,2022,24523.0
Česko,Zemřelí na nemoci oběhové soustavy,ženy,2023,22644.0
Česko,Zemřelí na nemoci oběhové soustavy,muži,2016,22257.0
Česko,Zemřelí na nemoci oběhové soustavy,muži,2017,22840.0
Česko,Zemřelí na nemoci oběhové soustavy,muži,2018,22925.0
Česko,Zemřelí na nemoci oběhové soustavy,muži,2019,22328.0
Česko,Zemřelí na nemoci oběhové soustavy,muži,2020,24289.0
Česko,Zemřelí na nemoci oběhové soustavy,muži,2021,22977.0
Česko,Zemřelí na nemoci oběhové soustavy,muži,2022,21763.0
Česko,Zemřelí na nemoci oběhové soustavy,muži,2023,21101.0
Česko,Zemřelí na novotvary,ženy,2016,12421.0
Česko,Zemřelí na novotvary,ženy,2017,12367.0
Česko,Zemřelí na novotvary,ženy,2018,12715.0
Česko,Zemřelí na novotvary,ženy,2019,12933.0
Česko,Zemřelí na novotvary,ženy,2020,12815.0
Česko,Zemřelí na novotvary,ženy,2021,12624.0
Česko,Zemřelí na novotvary,ženy,2022,12831.0
Česko,Zemřelí na novotvary,ženy,2023,12771.0
Česko,Zemřelí na novotvary,muži,2016,15385.0
Česko,Zemřelí na novotvary,muži,2017,15485.0
Česko,Zemřelí na novotvary,muži,2018,15551.0
Česko,Zemřelí na novotvary,muži,2019,15936.0
Česko,Zemřelí na novotvary,muži,2020,15901.0
Česko,Zemřelí na novotvary,muži,2021,15093.0
Česko,Zemřelí na novotvary,muži,2022,15339.0
Česko,Zemřelí na novotvary,muži,2023,15150.0
Česko,Zemřelí na nemoci dýchací soustavy,ženy,2016,3144.0
Česko,Zemřelí na nemoci dýchací soustavy,ženy,2017,3675.0
Česko,Zemřelí na nemoci dýchací soustavy,ženy,2018,3834.0
Česko,Zemřelí na nemoci dýchací soustavy,ženy,2019,3731.0
Česko,Zemřelí na nemoci dýchací soustavy,ženy,2020,3610.0
