Ukazatel;Rok sčítání;Území;Hlavní dopravní prostředek;value
Vyjíždějící do škol;2021;Liberecký kraj;Automobil-řidič;835
Vyjíždějící do škol;2021;Liberecký kraj;Automobil-spolucestující;6800
Vyjíždějící do škol;2021;Liberecký kraj;Městská hromadná doprava (MHD);6056
Vyjíždějící do škol;2021;Liberecký kraj;Autobus (kromě MHD);9050
Vyjíždějící do škol;2021;Liberecký kraj;Vlak;3139
Vyjíždějící do škol;2021;Liberecký kraj;Motocykl;36
Vyjíždějící do škol;2021;Liberecký kraj;Jízdní kolo;153
Vyjíždějící do škol;2021;Liberecký kraj;Jiný dopravní prostředek;136
Vyjíždějící do škol;2021;Liberecký kraj;Žádný dopravní prostředek (pouze pěšky);10719
Vyjíždějící do škol;2021;Liberecký kraj;Nezjištěno;22981
Vyjíždějící do škol;2021;Královéhradecký kraj;Vyjíždějící celkem;72551
Vyjíždějící do škol;2021;Královéhradecký kraj;Automobil-řidič;1191
Vyjíždějící do škol;2021;Královéhradecký kraj;Automobil-spolucestující;8447
Vyjíždějící do škol;2021;Královéhradecký kraj;Městská hromadná doprava (MHD);5073
Vyjíždějící do škol;2021;Královéhradecký kraj;Autobus (kromě MHD);14142
Vyjíždějící do škol;2021;Královéhradecký kraj;Vlak;5998
Vyjíždějící do škol;2021;Královéhradecký kraj;Motocykl;56
Vyjíždějící do škol;2021;Královéhradecký kraj;Jízdní kolo;644
Vyjíždějící do škol;2021;Královéhradecký kraj;Jiný dopravní prostředek;156
Vyjíždějící do škol;2021;Královéhradecký kraj;Žádný dopravní prostředek (pouze pěšky);12520
Vyjíždějící do škol;2021;Královéhradecký kraj;Nezjištěno;24324
Vyjíždějící do škol;2021;Pardubický kraj;Vyjíždějící celkem;71080
Vyjíždějící do škol;2021;Pardubický kraj;Automobil-řidič;1017
Vyjíždějící do škol;2021;Pardubický kraj;Automobil-spolucestující;8107
Vyjíždějící do škol;2021;Pardubický kraj;Městská hromadná doprava (MHD);4520
Vyjíždějící do škol;2021;Pardubický kraj;Autobus (kromě MHD);14005
Vyjíždějící do škol;2021;Pardubický kraj;Vlak;6774
Vyjíždějící do škol;2021;Pardubický kraj;Motocykl;36
Vyjíždějící do škol;2021;Pardubický kraj;Jízdní kolo;720
Vyjíždějící do škol;2021;Pardubický kraj;Jiný dopravní prostředek;142
Vyjíždějící do škol;2021;Pardubický kraj;Žádný dopravní prostředek (pouze pěšky);12586
Vyjíždějící do škol;2021;Pardubický kraj;Nezjištěno;23173
Vyjíždějící do škol;2021;Kraj Vysočina;Vyjíždějící celkem;68607
Vyjíždějící do škol;2021;Kraj Vysočina;Automobil-řidič;1069
Vyjíždějící do škol;2021;Kraj Vysočina;Automobil-spolucestující;8227
Vyjíždějící do škol;2021;Kraj Vysočina;Městská hromadná doprava (MHD);3400
Vyjíždějící do škol;2021;Kraj Vysočina;Autobus (kromě MHD);17699
Vyjíždějící do škol;2021;Kraj Vysočina;Vlak;4248
Vyjíždějící do škol;2021;Kraj Vysočina;Motocykl;36
Vyjíždějící do škol;2021;Kraj Vysočina;Jízdní kolo;158
Vyjíždějící do škol;2021;Kraj Vysočina;Jiný dopravní prostředek;98
Vyjíždějící do škol;2021;Kraj Vysočina;Žádný dopravní prostředek (pouze pěšky);12234
Vyjíždějící do škol;2021;Kraj Vysočina;Nezjištěno;21438
Vyjíždějící do škol;2021;Jihomoravský kraj;Vyjíždějící celkem;161377
Vyjíždějící do škol;2021;Jihomoravský kraj;Automobil-řidič;1791
Vyjíždějící do škol;2021;Jihomoravský kraj;Automobil-spolucestující;12860
Vyjíždějící do škol;2021;Jihomoravský kraj;Městská hromadná doprava (MHD);25568
Vyjíždějící do škol;2021;Jihomoravský kraj;Autobus (kromě MHD);27019
Vyjíždějící do škol;2021;Jihomoravský kraj;Vlak;9799
Vyjíždějící do škol;2021;Jihomoravský kraj;Motocykl;69
Vyjíždějící do škol;2021;Jihomoravský kraj;Jízdní kolo;840
Vyjíždějící do škol;2021;Jihomoravský kraj;Jiný dopravní prostředek;371
Vyjíždějící do škol;2021;Jihomoravský kraj;Žádný dopravní prostředek (pouze pěšky);30359
Vyjíždějící do škol;2021;Jihomoravský kraj;Nezjištěno;52701
Vyjíždějící do škol;2021;Olomoucký kraj;Vyjíždějící celkem;85549
Vyjíždějící do škol;2021;Olomoucký kraj;Automobil-řidič;1105
Vyjíždějící do škol;2021;Olomoucký kraj;Automobil-spolucestující;7959
Vyjíždějící do škol;2021;Olomoucký kraj;Městská hromadná doprava (MHD);7200
Vyjíždějící do škol;2021;Olomoucký kraj;Autobus (kromě MHD);15775
Vyjíždějící do škol;2021;Olomoucký kraj;Vlak;7452
Vyjíždějící do škol;2021;Olomoucký kraj;Motocykl;44
Vyjíždějící do škol;2021;Olomoucký kraj;Jízdní kolo;936
Vyjíždějící do škol;2021;Olomoucký kraj;Jiný dopravní prostředek;200
Vyjíždějící do škol;2021;Olomoucký kraj;Žádný dopravní prostředek (pouze pěšky);16146
Vyjíždějící do škol;2021;Olomoucký kraj;Nezjištěno;28732
Vyjíždějící do škol;2021;Zlínský kraj;Vyjíždějící celkem;77242
Vyjíždějící do škol;2021;Zlínský kraj;Automobil-řidič;1157
Vyjíždějící do škol;2021;Zlínský kraj;Automobil-spolucestující;6844
Vyjíždějící do škol;2021;Zlínský kraj;Městská hromadná doprava (MHD);6562
Vyjíždějící do škol;2021;Zlínský kraj;Autobus (kromě MHD);16859
Vyjíždějící do škol;2021;Zlínský kraj;Vlak;5177
Vyjíždějící do škol;2021;Zlínský kraj;Motocykl;31
Vyjíždějící do škol;2021;Zlínský kraj;Jízdní kolo;713
Vyjíždějící do škol;2021;Zlínský kraj;Jiný dopravní prostředek;150
Vyjíždějící do škol;2021;Zlínský kraj;Žádný dopravní prostředek (pouze pěšky);13469
Vyjíždějící do škol;2021;Zlínský kraj;Nezjištěno;26280
Vyjíždějící do škol;2021;Moravskoslezský kraj;Vyjíždějící celkem;157580
Vyjíždějící do škol;2021;Moravskoslezský kraj;Automobil-řidič;2074
Vyjíždějící do škol;2021;Moravskoslezský kraj;Automobil-spolucestující;13916
Vyjíždějící do škol;2021;Moravskoslezský kraj;Městská hromadná doprava (MHD);24377
Vyjíždějící do škol;2021;Moravskoslezský kraj;Autobus (kromě MHD);20272
Vyjíždějící do škol;2021;Moravskoslezský kraj;Vlak;9516
Vyjíždějící do škol;2021;Moravskoslezský kraj;Motocykl;51
Vyjíždějící do škol;2021;Moravskoslezský kraj;Jízdní kolo;686
Vyjíždějící do škol;2021;Moravskoslezský kraj;Jiný dopravní prostředek;283
Vyjíždějící do škol;2021;Moravskoslezský kraj;Žádný dopravní prostředek (pouze pěšky);28837
Vyjíždějící do škol;2021;Moravskoslezský kraj;Nezjištěno;57568
