ČR, kraje, okresy;Ukazatel;Pohlaví;Věkové skupiny;Roky;value
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2023;28713.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2022;27921.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2021;26164.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2020;30323.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2019;21494.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2018;23885.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2017;30241.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2016;44503.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2015;55654.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;35 až 39;2014;69104.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2023;29835.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2022;29680.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2021;28722.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2020;34355.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2019;25210.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2018;27127.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2017;33600.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2016;46343.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2015;53994.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;40 až 44;2014;62018.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2023;32865.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2022;31923.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2021;29952.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2020;33714.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2019;23891.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2018;24823.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2017;29609.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2016;39934.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2015;47428.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;45 až 49;2014;56583.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;50 až 54;2023;31912.0
