Ukazatel;Území;Věk ženy (jednoleté skupiny);Roky;value
Rozvody;Česko;21;2023;22.0
Rozvody;Česko;21;2022;26.0
Rozvody;Česko;21;2021;24.0
Rozvody;Česko;21;2020;31.0
Rozvody;Česko;21;2019;40.0
Rozvody;Česko;21;2018;39.0
Rozvody;Česko;21;2017;43.0
Rozvody;Česko;21;2016;36.0
Rozvody;Česko;21;2015;44.0
Rozvody;Česko;21;2014;51.0
Rozvody;Česko;21;2013;41.0
Rozvody;Česko;21;2012;62.0
Rozvody;Česko;21;2011;78.0
Rozvody;Česko;21;2010;111.0
Rozvody;Česko;21;2009;113.0
Rozvody;Česko;21;2008;127.0
Rozvody;Česko;21;2007;132.0
Rozvody;Česko;21;2006;132.0
Rozvody;Česko;21;2005;148.0
Rozvody;Česko;21;2004;171.0
Rozvody;Česko;21;2003;183.0
Rozvody;Česko;21;2002;221.0
Rozvody;Česko;21;2001;283.0
Rozvody;Česko;22;2024;
Rozvody;Česko;22;2023;46.0
Rozvody;Česko;22;2022;35.0
Rozvody;Česko;22;2021;52.0
Rozvody;Česko;22;2020;61.0
Rozvody;Česko;22;2019;58.0
Rozvody;Česko;22;2018;73.0
Rozvody;Česko;22;2017;64.0
Rozvody;Česko;22;2016;73.0
Rozvody;Česko;22;2015;93.0
Rozvody;Česko;22;2014;92.0
Rozvody;Česko;22;2013;105.0
Rozvody;Česko;22;2012;115.0
Rozvody;Česko;22;2011;125.0
Rozvody;Česko;22;2010;177.0
Rozvody;Česko;22;2009;168.0
Rozvody;Česko;22;2008;216.0
Rozvody;Česko;22;2007;209.0
Rozvody;Česko;22;2006;205.0
Rozvody;Česko;22;2005;252.0
Rozvody;Česko;22;2004;288.0
Rozvody;Česko;22;2003;366.0
Rozvody;Česko;22;2002;404.0
Rozvody;Česko;22;2001;487.0
Rozvody;Česko;23;2024;
Rozvody;Česko;23;2023;68.0
Rozvody;Česko;23;2022;69.0
Rozvody;Česko;23;2021;94.0
Rozvody;Česko;23;2020;70.0
Rozvody;Česko;23;2019;113.0
Rozvody;Česko;23;2018;113.0
Rozvody;Česko;23;2017;129.0
Rozvody;Česko;23;2016;105.0
Rozvody;Česko;23;2015;106.0
Rozvody;Česko;23;2014;147.0
Rozvody;Česko;23;2013;178.0
Rozvody;Česko;23;2012;189.0
Rozvody;Česko;23;2011;221.0
Rozvody;Česko;23;2010;233.0
Rozvody;Česko;23;2009;277.0
Rozvody;Česko;23;2008;277.0
Rozvody;Česko;23;2007;322.0
Rozvody;Česko;23;2006;353.0
Rozvody;Česko;23;2005;349.0
Rozvody;Česko;23;2004;462.0
Rozvody;Česko;23;2003;570.0
Rozvody;Česko;23;2002;685.0
Rozvody;Česko;23;2001;745.0
Rozvody;Česko;24;2024;
Rozvody;Česko;24;2023;97.0
Rozvody;Česko;24;2022;104.0
Rozvody;Česko;24;2021;126.0
Rozvody;Česko;24;2020;122.0
Rozvody;Česko;24;2019;164.0
Rozvody;Česko;24;2018;181.0
Rozvody;Česko;24;2017;155.0
Rozvody;Česko;24;2016;161.0
Rozvody;Česko;24;2015;169.0
Rozvody;Česko;24;2014;208.0
Rozvody;Česko;24;2013;246.0
Rozvody;Česko;24;2012;254.0
Rozvody;Česko;24;2011;316.0
Rozvody;Česko;24;2010;346.0
Rozvody;Česko;24;2009;354.0
Rozvody;Česko;24;2008;406.0
Rozvody;Česko;24;2007;448.0
Rozvody;Česko;24;2006;465.0
Rozvody;Česko;24;2005;498.0
Rozvody;Česko;24;2004;640.0
Rozvody;Česko;24;2003;829.0
Rozvody;Česko;24;2002;824.0
Rozvody;Česko;24;2001;1014.0
Rozvody;Česko;25;2024;
Rozvody;Česko;25;2023;147.0
Rozvody;Česko;25;2022;162.0
Rozvody;Česko;25;2021;154.0
Rozvody;Česko;25;2020;180.0
Rozvody;Česko;25;2019;229.0
Rozvody;Česko;25;2018;218.0
Rozvody;Česko;25;2017;256.0
Rozvody;Česko;25;2016;238.0
Rozvody;Česko;25;2015;298.0
Rozvody;Česko;25;2014;293.0
Rozvody;Česko;25;2013;309.0
Rozvody;Česko;25;2012;341.0
Rozvody;Česko;25;2011;361.0
Rozvody;Česko;25;2010;437.0
Rozvody;Česko;25;2009;501.0
Rozvody;Česko;25;2008;545.0
Rozvody;Česko;25;2007;529.0
Rozvody;Česko;25;2006;651.0
Rozvody;Česko;25;2005;683.0
Rozvody;Česko;25;2004;884.0
Rozvody;Česko;25;2003;962.0
Rozvody;Česko;25;2002;1050.0
Rozvody;Česko;25;2001;1283.0
Rozvody;Česko;26;2024;
Rozvody;Česko;26;2023;211.0
Rozvody;Česko;26;2022;196.0
Rozvody;Česko;26;2021;225.0
Rozvody;Česko;26;2020;232.0
Rozvody;Česko;26;2019;285.0
Rozvody;Česko;26;2018;262.0
Rozvody;Česko;26;2017;290.0
Rozvody;Česko;26;2016;330.0
Rozvody;Česko;26;2015;354.0
Rozvody;Česko;26;2014;397.0
Rozvody;Česko;26;2013;415.0
Rozvody;Česko;26;2012;453.0
Rozvody;Česko;26;2011;510.0
Rozvody;Česko;26;2010;603.0
Rozvody;Česko;26;2009;586.0
Rozvody;Česko;26;2008;691.0
Rozvody;Česko;26;2007;695.0
Rozvody;Česko;26;2006;825.0
Rozvody;Česko;26;2005;890.0
Rozvody;Česko;26;2004;1082.0
Rozvody;Česko;26;2003;1208.0
Rozvody;Česko;26;2002;1361.0
Rozvody;Česko;26;2001;1454.0
Rozvody;Česko;27;2024;
Rozvody;Česko;27;2023;254.0
Rozvody;Česko;27;2022;272.0
Rozvody;Česko;27;2021;314.0
Rozvody;Česko;27;2020;340.0
Rozvody;Česko;27;2019;352.0
Rozvody;Česko;27;2018;367.0
Rozvody;Česko;27;2017;397.0
Rozvody;Česko;27;2016;397.0
Rozvody;Česko;27;2015;450.0
Rozvody;Česko;27;2014;453.0
Rozvody;Česko;27;2013;535.0
Rozvody;Česko;27;2012;533.0
Rozvody;Česko;27;2011;620.0
Rozvody;Česko;27;2010;706.0
Rozvody;Česko;27;2009;676.0
Rozvody;Česko;27;2008;817.0
Rozvody;Česko;27;2007;906.0
Rozvody;Česko;27;2006;1031.0
Rozvody;Česko;27;2005;1070.0
Rozvody;Česko;27;2004;1301.0
Rozvody;Česko;27;2003;1428.0
Rozvody;Česko;27;2002;1538.0
Rozvody;Česko;27;2001;1619.0
Rozvody;Česko;28;2024;
Rozvody;Česko;28;2023;290.0
Rozvody;Česko;28;2022;296.0
Rozvody;Česko;28;2021;354.0
Rozvody;Česko;28;2020;365.0
Rozvody;Česko;28;2019;436.0
Rozvody;Česko;28;2018;444.0
Rozvody;Česko;28;2017;510.0
Rozvody;Česko;28;2016;526.0
Rozvody;Česko;28;2015;553.0
Rozvody;Česko;28;2014;577.0
Rozvody;Česko;28;2013;602.0
Rozvody;Česko;28;2012;602.0
Rozvody;Česko;28;2011;640.0
Rozvody;Česko;28;2010;803.0
Rozvody;Česko;28;2009;816.0
Rozvody;Česko;28;2008;1064.0
Rozvody;Česko;28;2007;1104.0
Rozvody;Česko;28;2006;1163.0
Rozvody;Česko;28;2005;1232.0
Rozvody;Česko;28;2004;1430.0
Rozvody;Česko;28;2003;1553.0
Rozvody;Česko;28;2002;1567.0
Rozvody;Česko;28;2001;1532.0
Rozvody;Česko;29;2024;
Rozvody;Česko;29;2023;358.0
Rozvody;Česko;29;2022;371.0
Rozvody;Česko;29;2021;402.0
Rozvody;Česko;29;2020;446.0
Rozvody;Česko;29;2019;514.0
Rozvody;Česko;29;2018;498.0
Rozvody;Česko;29;2017;563.0
Rozvody;Česko;29;2016;584.0
Rozvody;Česko;29;2015;594.0
Rozvody;Česko;29;2014;611.0
Rozvody;Česko;29;2013;695.0
Rozvody;Česko;29;2012;735.0
Rozvody;Česko;29;2011;738.0
Rozvody;Česko;29;2010;859.0
Rozvody;Česko;29;2009;975.0
Rozvody;Česko;29;2008;1196.0
Rozvody;Česko;29;2007;1204.0
Rozvody;Česko;29;2006;1333.0
Rozvody;Česko;29;2005;1418.0
Rozvody;Česko;29;2004;1612.0
Rozvody;Česko;29;2003;1577.0
Rozvody;Česko;29;2002;1566.0
Rozvody;Česko;29;2001;1482.0
Rozvody;Česko;30;2024;
Rozvody;Česko;30;2023;471.0
Rozvody;Česko;30;2022;431.0
Rozvody;Česko;30;2021;474.0
Rozvody;Česko;30;2020;489.0
Rozvody;Česko;30;2019;553.0
Rozvody;Česko;30;2018;590.0
Rozvody;Česko;30;2017;664.0
Rozvody;Česko;30;2016;665.0
Rozvody;Česko;30;2015;739.0
Rozvody;Česko;30;2014;734.0
Rozvody;Česko;30;2013;781.0
Rozvody;Česko;30;2012;798.0
Rozvody;Česko;30;2011;882.0
Rozvody;Česko;30;2010;1077.0
Rozvody;Česko;30;2009;1102.0
Rozvody;Česko;30;2008;1258.0
Rozvody;Česko;30;2007;1295.0
Rozvody;Česko;30;2006;1489.0
Rozvody;Česko;30;2005;1496.0
Rozvody;Česko;30;2004;1667.0
Rozvody;Česko;30;2003;1536.0
Rozvody;Česko;30;2002;1409.0
Rozvody;Česko;30;2001;1371.0
Rozvody;Česko;31;2024;
Rozvody;Česko;31;2023;496.0
Rozvody;Česko;31;2022;492.0
Rozvody;Česko;31;2021;481.0
Rozvody;Česko;31;2020;519.0
Rozvody;Česko;31;2019;612.0
Rozvody;Česko;31;2018;626.0
Rozvody;Česko;31;2017;731.0
Rozvody;Česko;31;2016;661.0
Rozvody;Česko;31;2015;803.0
Rozvody;Česko;31;2014;791.0
Rozvody;Česko;31;2013;874.0
Rozvody;Česko;31;2012;807.0
Rozvody;Česko;31;2011;972.0
Rozvody;Česko;31;2010;1193.0
Rozvody;Česko;31;2009;1202.0
Rozvody;Česko;31;2008;1326.0
Rozvody;Česko;31;2007;1478.0
Rozvody;Česko;31;2006;1532.0
Rozvody;Česko;31;2005;1561.0
Rozvody;Česko;31;2004;1636.0
Rozvody;Česko;31;2003;1453.0
Rozvody;Česko;31;2002;1351.0
Rozvody;Česko;31;2001;1344.0
Rozvody;Česko;32;2024;
Rozvody;Česko;32;2023;539.0
Rozvody;Česko;32;2022;518.0
