Ukazatel,Rok sčítání,Území,Věk,Nejvyšší dosažené vzdělání,Pohlaví,value
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Obyvatelstvo ve věku 15 a více let,Celkem,8832407
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Obyvatelstvo ve věku 15 a více let,Ženy,4512181
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Obyvatelstvo ve věku 15 a více let,Muži,4320226
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Bez vzdělání,Celkem,56100
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Bez vzdělání,Ženy,27440
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Bez vzdělání,Muži,28660
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Základní vč. neukončeného,Celkem,1107860
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Základní vč. neukončeného,Ženy,664736
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Základní vč. neukončeného,Muži,443124
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Střední vč. vyučení (bez maturity),Celkem,2736983
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Střední vč. vyučení (bez maturity),Ženy,1182747
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Střední vč. vyučení (bez maturity),Muži,1554236
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Úplné střední (s maturitou), vč. nástavbového a pomaturitního",Celkem,2729091
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Úplné střední (s maturitou), vč. nástavbového a pomaturitního",Ženy,1510941
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Úplné střední (s maturitou), vč. nástavbového a pomaturitního",Muži,1218150
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Vyšší odborné, konzervatoř",Celkem,138588
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Vyšší odborné, konzervatoř",Ženy,91618
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Vyšší odborné, konzervatoř",Muži,46970
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Vysokoškolské,Celkem,1552407
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Vysokoškolské,Ženy,823196
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Vysokoškolské,Muži,729211
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Nezjištěno,Celkem,511378
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Nezjištěno,Ženy,211503
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Nezjištěno,Muži,299875
