Území;Čtvrtletí;Ukazatel;value
Česko;4. čtvrtletí 2024;Počáteční stav obyvatel;10903158.0
Česko;4. čtvrtletí 2024;Střední stav obyvatel;10906133.0
Česko;4. čtvrtletí 2024;Koncový stav obyvatel;10909500.0
Česko;4. čtvrtletí 2024;Sňatky;5910.0
Česko;4. čtvrtletí 2024;Rozvody;5422.0
Česko;4. čtvrtletí 2024;Živě narození;19843.0
Česko;4. čtvrtletí 2024;Potraty;
Česko;4. čtvrtletí 2024;UPT;
Česko;4. čtvrtletí 2024;Zemřelí;29313.0
Česko;4. čtvrtletí 2024;Zemřelí do 1 roku;68.0
Česko;4. čtvrtletí 2024;Zemřelí do 28 dnů;51.0
Česko;4. čtvrtletí 2024;Přirozený přírůstek/úbytek;-9470.0
Česko;4. čtvrtletí 2024;Přistěhovalí;27483.0
Česko;4. čtvrtletí 2024;Vystěhovalí;11671.0
Česko;4. čtvrtletí 2024;Přírůstek/úbytek stěhováním;15812.0
Česko;4. čtvrtletí 2024;Celkový přírůstek/úbytek;6342.0
Česko;3. čtvrtletí 2024;Počáteční stav obyvatel;10886531.0
Česko;3. čtvrtletí 2024;Střední stav obyvatel;10897136.0
Česko;3. čtvrtletí 2024;Koncový stav obyvatel;10903158.0
Česko;3. čtvrtletí 2024;Sňatky;19614.0
Česko;3. čtvrtletí 2024;Rozvody;4954.0
Česko;3. čtvrtletí 2024;Živě narození;22161.0
Česko;3. čtvrtletí 2024;Potraty;
Česko;3. čtvrtletí 2024;UPT;
Česko;3. čtvrtletí 2024;Zemřelí;27123.0
Česko;3. čtvrtletí 2024;Zemřelí do 1 roku;43.0
Česko;3. čtvrtletí 2024;Zemřelí do 28 dnů;29.0
Česko;3. čtvrtletí 2024;Přirozený přírůstek/úbytek;-4962.0
Česko;3. čtvrtletí 2024;Přistěhovalí;35207.0
Česko;3. čtvrtletí 2024;Vystěhovalí;13618.0
Česko;3. čtvrtletí 2024;Přírůstek/úbytek stěhováním;21589.0
Česko;3. čtvrtletí 2024;Celkový přírůstek/úbytek;16627.0
Česko;2. čtvrtletí 2024;Počáteční stav obyvatel;10868033.0
Česko;2. čtvrtletí 2024;Střední stav obyvatel;10878260.0
Česko;2. čtvrtletí 2024;Koncový stav obyvatel;10886531.0
Česko;2. čtvrtletí 2024;Sňatky;15591.0
Česko;2. čtvrtletí 2024;Rozvody;5454.0
Česko;2. čtvrtletí 2024;Živě narození;21323.0
Česko;2. čtvrtletí 2024;Potraty;
