Území,Měsíce,Ukazatel,value
Česko,září 2025,Souhrnný indikátor,101.9
Česko,září 2025,Podnikatelé,101.6
Česko,září 2025,Podnikatelé - průmysl,95.5
Česko,září 2025,Podnikatelé - stavebnictví,125.4
Česko,září 2025,Podnikatelé - obchod,99.6
Česko,září 2025,Podnikatelé - služby,105.6
Česko,září 2025,Spotřebitelé,103.5
Česko,srpen 2025,Souhrnný indikátor,101.1
Česko,srpen 2025,Podnikatelé,101.5
Česko,srpen 2025,Podnikatelé - průmysl,93.5
Česko,srpen 2025,Podnikatelé - stavebnictví,122.4
Česko,srpen 2025,Podnikatelé - obchod,98.4
Česko,srpen 2025,Podnikatelé - služby,107.9
Česko,srpen 2025,Spotřebitelé,99.0
Česko,červenec 2025,Souhrnný indikátor,99.7
Česko,červenec 2025,Podnikatelé,98.8
Česko,červenec 2025,Podnikatelé - průmysl,93.5
Česko,červenec 2025,Podnikatelé - stavebnictví,121.2
Česko,červenec 2025,Podnikatelé - obchod,97.3
Česko,červenec 2025,Podnikatelé - služby,102.0
Česko,červenec 2025,Spotřebitelé,104.1
Česko,červen 2025,Souhrnný indikátor,100.1
Česko,červen 2025,Podnikatelé,100.0
Česko,červen 2025,Podnikatelé - průmysl,94.5
Česko,červen 2025,Podnikatelé - stavebnictví,121.2
Česko,červen 2025,Podnikatelé - obchod,94.7
Česko,červen 2025,Podnikatelé - služby,104.1
Česko,červen 2025,Spotřebitelé,100.7
Česko,květen 2025,Souhrnný indikátor,101.0
Česko,květen 2025,Podnikatelé,101.0
Česko,květen 2025,Podnikatelé - průmysl,94.2
Česko,květen 2025,Podnikatelé - stavebnictví,114.7
Česko,květen 2025,Podnikatelé - obchod,98.4
Česko,květen 2025,Podnikatelé - služby,106.9
Česko,květen 2025,Spotřebitelé,100.7
Česko,duben 2025,Souhrnný indikátor,96.7
Česko,duben 2025,Podnikatelé,96.5
Česko,duben 2025,Podnikatelé - průmysl,90.3
Česko,duben 2025,Podnikatelé - stavebnictví,116.4
Česko,duben 2025,Podnikatelé - obchod,100.2
Česko,duben 2025,Podnikatelé - služby,100.3
Česko,duben 2025,Spotřebitelé,97.7
Česko,březen 2025,Souhrnný indikátor,99.5
Česko,březen 2025,Podnikatelé,99.6
Česko,březen 2025,Podnikatelé - průmysl,94.8
Česko,březen 2025,Podnikatelé - stavebnictví,115.8
Česko,březen 2025,Podnikatelé - obchod,102.2
Česko,březen 2025,Podnikatelé - služby,102.3
Česko,březen 2025,Spotřebitelé,98.8
Česko,únor 2025,Souhrnný indikátor,97.8
Česko,únor 2025,Podnikatelé,98.0
Česko,únor 2025,Podnikatelé - průmysl,93.5
Česko,únor 2025,Podnikatelé - stavebnictví,114.7
Česko,únor 2025,Podnikatelé - obchod,99.9
Česko,únor 2025,Podnikatelé - služby,100.5
Česko,únor 2025,Spotřebitelé,96.6
Česko,leden 2025,Souhrnný indikátor,97.4
Česko,leden 2025,Podnikatelé,97.5
Česko,leden 2025,Podnikatelé - průmysl,93.2
Česko,leden 2025,Podnikatelé - stavebnictví,111.7
Česko,leden 2025,Podnikatelé - obchod,96.2
Česko,leden 2025,Podnikatelé - služby,100.5
Česko,leden 2025,Spotřebitelé,97.1
Česko,prosinec 2024,Souhrnný indikátor,97.68523198
Česko,prosinec 2024,Podnikatelé,97.12249479
Česko,prosinec 2024,Podnikatelé - průmysl,88.86130341
Česko,prosinec 2024,Podnikatelé - stavebnictví,113.46105997
Česko,prosinec 2024,Podnikatelé - obchod,97.02880382
Česko,prosinec 2024,Podnikatelé - služby,103.86348218
Česko,prosinec 2024,Spotřebitelé,100.49188579
Česko,listopad 2024,Souhrnný indikátor,98.18874007
Česko,listopad 2024,Podnikatelé,97.50308199
Česko,listopad 2024,Podnikatelé - průmysl,91.24951314
Česko,listopad 2024,Podnikatelé - stavebnictví,113.46105997
Česko,listopad 2024,Podnikatelé - obchod,96.68134168
Česko,listopad 2024,Podnikatelé - služby,102.33270131
Česko,listopad 2024,Spotřebitelé,101.6084623
Česko,říjen 2024,Souhrnný indikátor,96.96726674
Česko,říjen 2024,Podnikatelé,96.21580176
Česko,říjen 2024,Podnikatelé - průmysl,95.22986267
Česko,říjen 2024,Podnikatelé - stavebnictví,109.28091565
Česko,říjen 2024,Podnikatelé - obchod,92.07746826
Česko,říjen 2024,Podnikatelé - služby,96.43919495
Česko,říjen 2024,Spotřebitelé,100.71520109
Česko,září 2024,Souhrnný indikátor,97.17239966
Česko,září 2024,Podnikatelé,97.02175112
Česko,září 2024,Podnikatelé - průmysl,94.83182772
Česko,září 2024,Podnikatelé - stavebnictví,108.0865887
Česko,září 2024,Podnikatelé - obchod,96.247014
Česko,září 2024,Podnikatelé - služby,98.19959295
Česko,září 2024,Spotřebitelé,97.92375982
Česko,srpen 2024,Souhrnný indikátor,93.92756973
Česko,srpen 2024,Podnikatelé,93.23826662
Česko,srpen 2024,Podnikatelé - průmysl,91.84656557
Česko,srpen 2024,Podnikatelé - stavebnictví,105.10077134
Česko,srpen 2024,Podnikatelé - obchod,94.94403096
Česko,srpen 2024,Podnikatelé - služby,93.14801607
Česko,srpen 2024,Spotřebitelé,97.36547156
Česko,červenec 2024,Souhrnný indikátor,95.3168791
Česko,červenec 2024,Podnikatelé,94.68225923
Česko,červenec 2024,Podnikatelé - průmysl,90.25442575
Česko,červenec 2024,Podnikatelé - stavebnictví,107.48942523
Česko,červenec 2024,Podnikatelé - obchod,97.54999704
Česko,červenec 2024,Podnikatelé - služby,97.43420252
Česko,červenec 2024,Spotřebitelé,98.48204807
Česko,červen 2024,Souhrnný indikátor,98.19340218
Česko,červen 2024,Podnikatelé,97.62061627
Česko,červen 2024,Podnikatelé - průmysl,95.22986267
Česko,červen 2024,Podnikatelé - stavebnictví,103.30928092
Česko,červen 2024,Podnikatelé - obchod,95.81268632
Česko,červen 2024,Podnikatelé - služby,99.73037382
Česko,červen 2024,Spotřebitelé,101.05017404
Česko,květen 2024,Souhrnný indikátor,96.61294623
Česko,květen 2024,Podnikatelé,95.61133974
Česko,květen 2024,Podnikatelé - průmysl,90.85147818
Česko,květen 2024,Podnikatelé - stavebnictví,102.71211744
Česko,květen 2024,Podnikatelé - obchod,96.68134168
Česko,květen 2024,Podnikatelé - služby,99.57729574
Česko,květen 2024,Spotřebitelé,101.6084623
Česko,duben 2024,Souhrnný indikátor,97.186386
Česko,duben 2024,Podnikatelé,95.85200517
Česko,duben 2024,Podnikatelé - průmysl,92.84165295
Česko,duben 2024,Podnikatelé - stavebnictví,103.90644439
Česko,duben 2024,Podnikatelé - obchod,92.94612363
Česko,duben 2024,Podnikatelé - služby,98.50574913
Česko,duben 2024,Spotřebitelé,103.84161531
Česko,březen 2024,Souhrnný indikátor,94.34715981
Česko,březen 2024,Podnikatelé,93.22707288
Česko,březen 2024,Podnikatelé - průmysl,89.25933837
Česko,březen 2024,Podnikatelé - stavebnictví,106.29509828
Česko,březen 2024,Podnikatelé - obchod,93.20672023
Česko,březen 2024,Podnikatelé - služby,95.90342164
Česko,březen 2024,Spotřebitelé,99.93359753
Česko,únor 2024,Souhrnný indikátor,90.78530627
Česko,únor 2024,Podnikatelé,90.13760033
Česko,únor 2024,Podnikatelé - průmysl,85.57751505
Česko,únor 2024,Podnikatelé - stavebnictví,111.07240607
Česko,únor 2024,Podnikatelé - obchod,88.34225021
Česko,únor 2024,Podnikatelé - služby,92.8418599
Česko,únor 2024,Spotřebitelé,94.01574204
Česko,leden 2024,Souhrnný indikátor,92.65481317
Česko,leden 2024,Podnikatelé,92.94163248
Česko,leden 2024,Podnikatelé - průmysl,90.25442575
Česko,leden 2024,Podnikatelé - stavebnictví,108.68375218
Česko,leden 2024,Podnikatelé - obchod,92.07746826
Česko,leden 2024,Podnikatelé - služby,94.14302364
Česko,leden 2024,Spotřebitelé,91.22430077
Česko,prosinec 2023,Souhrnný indikátor,93.96020452
Česko,prosinec 2023,Podnikatelé,95.67290532
Česko,prosinec 2023,Podnikatelé - průmysl,95.8269151
Česko,prosinec 2023,Podnikatelé - stavebnictví,100.92062702
Česko,prosinec 2023,Podnikatelé - obchod,92.33806487
Česko,prosinec 2023,Podnikatelé - služby,95.44418738
Česko,prosinec 2023,Spotřebitelé,85.41810292
Česko,listopad 2023,Souhrnný indikátor,93.58257345
Česko,listopad 2023,Podnikatelé,94.05540973
Česko,listopad 2023,Podnikatelé - průmysl,93.53821412
Česko,listopad 2023,Podnikatelé - stavebnictví,106.29509828
Česko,listopad 2023,Podnikatelé - obchod,89.73209879
Česko,listopad 2023,Podnikatelé - služby,93.91340651
Česko,listopad 2023,Spotřebitelé,91.22430077
Česko,říjen 2023,Souhrnný indikátor,93.28419828
